is_there_an_emotion_directed_at_a_brand_or_product,tweet
Positive emotion,wooooo ûïmention apple store downtown austin open til midnight #sxswû
No emotion toward brand or product,khoi vinh (mention says conde nast's headlong rush into ipad publishing was a &quotfundamental misunderstanding&quot of the platform #sxsw
No emotion toward brand or product,ûïmention {link} &lt-- help me forward this doc to all anonymous accounts techies&amp ppl who can help us jam #libya #sxsw
No emotion toward brand or product,÷¼ what ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
No emotion toward brand or product,mention mention on the location-based 'fast fun and future' - {link} (via mention #sxsw
No emotion toward brand or product,ûïmention mention #google will connect the digital &amp physical worlds through mobile - {link} #sxswû mention
Positive emotion,ûïmention mention talking about {link} - google's effort to allow users to have open systems #bettercloud #sxswû
No emotion toward brand or product,{link} rt mention &quotgoogle before you tweet&quot is the new &quotthink before you speak&quot - mark belinsky #911tweets panel at #sxsw
Positive emotion,{link} rt mention 1st stop on the #sxsw #chaos &amp mention hunt austin java get in the spy game 4 a chance 2 win an ipad
No emotion toward brand or product,{link} rt mention those at #sxsw check out the holler gram ipad app from mention  {link}
No emotion toward brand or product,mention  mention &amp  mention having fun at #google [pic] #sxsw {link}
No emotion toward brand or product,&quotvia mention  {link} guy kawasaki talks 'enchanted' at sxsw - he knows his stuff #books #internet #apple #sxsw  &quot
No emotion toward brand or product,#futuremf mention {link} spec for recipes on the web now in google search {link}  #sxsw
Positive emotion,#omfg rt mention heard about apple's pop-up store in downtown austin pics are already on gowalla {link} #sxsw #ipad2
No emotion toward brand or product,#smile rt mention i think apple's &quotpop-up store&quot in austin would be a lot more interesting if it actually you know popped up #sxsw
Negative emotion,again rt mention line at the apple store is insane #sxsw
No emotion toward brand or product,agree rt mention wait fiona apple is in town somebody kidnap her and put her in a recording studio until she records a new album #sxsw
No emotion toward brand or product,at #sxsw mention / mention wanna buy you a drink 7pm at fado on 4th {link} join us
Negative emotion,attending mention ipad design headaches #sxsw {link}
Negative emotion,boooo rt mention flipboard is developing an iphone version not android says mention #sxsw
Positive emotion,check out mention mention &amp mention in line for their ipad 2 in austin power to them #sxswi #sxsw  {link}
No emotion toward brand or product,check rt mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw
No emotion toward brand or product,chilcott mention #sxsw stand talking with blogger staff too late to win competition for best tweet mentioning mention so no t-shirt
Positive emotion,do it rt mention come party w/ google tonight at #sxsw {link} - bands food art ice cream nifty interactive maps
No emotion toward brand or product,gowalla's mention promises to launch foursquare check-in + groupon rewards-type service at #sxsw finger's crossed {link}
No emotion toward brand or product,haha rt mention #sxsw news yahoocom is loosing search traffic to new site googlecom doubt it will last tho w/ that weird name
Positive emotion,holla rt mention at google party best ever get your butt over here #sxsw
Positive emotion,i love my mention iphone case from #sxsw but i can't get my phone out of it #fail
No emotion toward brand or product,i worship mention {link} #sxsw
No emotion toward brand or product,ipad2 rt mention droid &amp mac here ) rt mention my #agnerd confession using laptop ipad &amp blackberry to follow #sxsw
No emotion toward brand or product,launching mention #sxsw rt mention mention denies social network called circles will debut today despite report {link}
Positive emotion,new post mention iphone app makes it easy to connect on all social networks with people you meet  {link} #sxsw
Positive emotion,nice that mention iphone app is behaving today crashes yesterday were ridiculous #sxsw
No emotion toward brand or product,nice  rt mention apple opening popup store for ipad launch in downtown austin during #sxsw {link} via mention
Positive emotion,nice rt mention hey apple fans get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow {link}
Positive emotion,one thing mention is doing so great is get a great down to earth face to google as a company - you can only love her #sxsw #sxwsi
No emotion toward brand or product,stay tune mention showcase #h4ckers {link} #sxsw
No emotion toward brand or product,thank you mention mention for the #touchingstories preso #sxsw  here's their deck {link}
No emotion toward brand or product,thank you mention for an awesome #sxsw party {link}
No emotion toward brand or product,thanks rt mention if you're trying to contact friends or family in #japan mention has created a person finder {link} #sxsw
Positive emotion,thanks to mention for her mention of our new #speech ipad apps being showcased at the #sxsw conf {link} #sxswh #sxsh
No emotion toward brand or product,thanks to mention for publishing the news of our new medical apps in the #sxswi conf blog {link} #sxsw #sxswh #mhealth
Negative emotion,what  mention  #sxsw does not provide iphone chargers  i've changed my mind about going next year
No emotion toward brand or product,wonder if mention &amp mention will be in the apple flashmob tcrnch/fcs45j #sxsw #ipad2
No emotion toward brand or product,wonder if mention is putting tips from the mention api #sxsw #suxsw
Positive emotion,xmas rt mention shiny new mention mention mention apps a new garyvee book pop-up ipad 2 stores #sxsw is christmas for nerds
Positive emotion,yai rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by (cont) {link}
No emotion toward brand or product,yes rt mention hey mention  i've got another gem for you --&gt free mention sxsw {link} #sxsw
Positive emotion,fast fun &amp future mention of google presenting at #sxsw on search local and mobile
No emotion toward brand or product,gsd&ampm &amp google's industry party tonight mention - see u there {link} #sxsw #austin #welivehere #gsdm
No emotion toward brand or product,new buzz &quotmention google to launch major new social network called circles possibly today {link} rt mention #sxsw&quot
Positive emotion,headline &quot#ipad 2 is the must-have gadget at #sxsw&quot hmm i could have seen that one coming {link} #gadget
Negative emotion,know that &quotdataviz&quot translates to &quotsatanic&quot on an iphone i'm just sayin' #sxsw
Positive emotion,mention &quotgoogle launched checkins a month ago&quot check ins are ok but check outs are the future #sxsw #bizzy
No emotion toward brand or product,mention &quotgoogle launched checkins a month ago&quot check ins are ok but check outs are the future #sxsw #bizzy (via mention
Positive emotion,ûïmention &quotgoogle before you tweet&quot is the new &quotthink before you speak&quot - mark belinsky #911tweets panel at #sxswû
No emotion toward brand or product,attending &quotleft brain search = google right brain search = x&quot  #bettersearch  -- talking about the future of search engines at #sxsw
No emotion toward brand or product,#hp opens &quotmobile park&quot  &amp content incubator at #sxsw  {link}   #apple  constructs  &quotpop-up&quot store  {link}
Positive emotion,kawasaki &quotnot cs lewis level reasoning but apple's continued existence is evidence for the existence of god&quot #bawling #sxsw
No emotion toward brand or product,kawasaki &quotpagemaker saved apple&quot oh those were the days #sxsw #jwtatl #enchantment
Positive emotion,kawasaki &quotpagemaker saved apple&quot oh those were the days #sxsw #jwtatl #enchantment  via mention
Positive emotion,spark for #android is up for a #teamandroid award at #sxsw read about it here {link}
No emotion toward brand or product,unboxing #apple #sxsw  mention apple store sxsw {link}
Positive emotion,#sxsw and #apple ipad 2's are great but thoughts are w/ japan and apac regions dealing w/ earthquake &amp tsunami trauma #sxswi
No emotion toward brand or product,at #sxsw #apple schools the #marketing experts | sxsw - cnet blogs {link}
Positive emotion,at #sxsw #apple schools the marketing experts - {link}
No emotion toward brand or product,at #sxsw #apple schools the marketing experts {link}
Positive emotion,temporary #apple store is def not a tent it's a powerhouse gym #sxsw  {link}
Positive emotion,temporary #apple store on 6th and congress for #sxsw along with 10000 very happy hipsters
Positive emotion,ûïmention #apple wins #sxsw {link} opening a temporary store in downtown austin to support #ipad2 launch - that is good
Positive emotion,#ipad and #austin are trending today have fun at #sxsw all you nerdy nerds
No emotion toward brand or product,headed to #austin for #sxsw check out my map for newbies {link} mention mention  mention mention enjoy
No emotion toward brand or product,funny how #austin is trending but not #sxsw only a matter of minutes at this point (at least according to twitter for iphone)
Positive emotion,christian #ipad #iphone devs i want to talk to u at #sxsw or after -maybe we can wk together on cool app mention me
No emotion toward brand or product,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards an unexpected experience can be good
Positive emotion,the apple #ipad2  has taken #sxsw and #austin by storm {link}  mention excited to a be a part #mobile
Positive emotion,i can haz #ipad2 ifrom #sxsw gr8 {link}
Positive emotion,stacks of #ipad2's waiting to be bought at #sxsw i got mine no hassle at all apple handled this perfectly {link}
No emotion toward brand or product,#google's #mobile future and the elusive 'power of here' - {link} (via mention #eurorscg #sxsw #sxswi
No emotion toward brand or product,for those #notatsxsw (or at #sxsw) here's {link} free to download and meet nearby peps
Positive emotion,does your #smallbiz need reviews to play on google placeswe got an app for that{link}  #seo #sxsw
No emotion toward brand or product,does your #smallbiz need reviews to play on google placeswe got an app for that{link} #seo #sxsw
No emotion toward brand or product,#samsung #sony follow #apple #hp lead mention {link} #austin #atx #sxsw
No emotion toward brand or product,#samsung #sony follow #apple #hp lead mention {link} #austin #atx #sxsw /via mention ^rg
Positive emotion,take that #sxsw  rt mention major south korean director gets $130000 to make a movie entirely with his iphone {link}
Positive emotion,beautiful #sxsw (mention apple store sxsw) [pic] {link}
No emotion toward brand or product,q1 was at #sxsw #sxswi for prep amazing pre push locally focus on location based google owns 10% of the regions billboards #pr20chat
No emotion toward brand or product,any other #sxsw accounts i need to follow or apps to download for iphone
No emotion toward brand or product,headed to #sxsw and want to share/gather contact info {link} can turn your iphone into a business card broadcaster
No emotion toward brand or product,headed to #sxsw and want to share/gather contact info {link} can turn your iphone into a {link}
No emotion toward brand or product,btw - the #sxsw apple store is sold out of all 3g models (vzw &amp at&ampt)
Positive emotion,must have #sxsw app rt mention lovely review from forbes for our sxsw ipad app holler gram - {link}
Positive emotion,temporary #sxsw apple store apple being sneaky as usual  {link}
No emotion toward brand or product,anyone at #sxsw been by the pop-up apple store in austin that's gotta be a hopping place today
Positive emotion,ûïmention #sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana  cool appû
Positive emotion,apple won #sxsw from day one seeing a ton of #ipad2
No emotion toward brand or product,#fastball #sxsw giving away two new ipad2 wifi 32g black apple cover tweet mention fo more info #sxswi #attsxsw  tonight mention bolt house
No emotion toward brand or product,anyone at #sxsw had a chance to check out the pop-up apple store wondering if it is worth the trek from the convention center
Positive emotion,ûïmention #sxsw ipad store sold out of everything except 64gig wifi only whiteû mention did you manage to get yours
Positive emotion,ûïmention #sxsw ipad store sold out of everything except 64gig wifi only whiteû also known as the white jeans configuration
Positive emotion,offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw sucks to not be here #sxsw
No emotion toward brand or product,mention  #sxsw is an austin conference do a google search - they have interactive / music / film
No emotion toward brand or product,anyone at #sxsw know if apple will be (or is) selling ipad 2 there
No emotion toward brand or product,anyone at #sxsw know if the apple store has had a new shipment of ipads yet
No emotion toward brand or product,marc ecko #sxsw launches #iphone app to autodial political change {link} #edreform #edtech #eduvc #fightthepaddle
Positive emotion,#poursite #sxsw learning about the life-changing impact of the ipad on real people's actual lives - bravo
Positive emotion,mention  #sxsw lonelyplanet austin guide for #iphone is free for a limited time {link} #lp #travel
No emotion toward brand or product,more free #sxsw mp3 downloads this time from itunes {link}
No emotion toward brand or product,anyone at #sxsw or heading to aclu event seen owt to do with google circles then
No emotion toward brand or product,mention  #sxsw prompt for memory go to google map and describe a childhood walk
Positive emotion,the apple #sxsw store still has ipad 2's and short lines
No emotion toward brand or product,essential #sxsw tools {link}
Positive emotion,just left #sxsw tradeshow demo of mention at the google theatre ok i get it i see why all the presenters here are using it
No emotion toward brand or product,following #sxsw tweets on google realtime four platforms on tweet deck and listening to panel realizing i'm spoken to no one here today
No emotion toward brand or product,anyone at #sxsw want an ipad 2 i'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you
Positive emotion,anyone at #sxsw want to make a quick hundred dollars new #ipad2 from ad hoc apple store here gets hundred plus cost
No emotion toward brand or product,solving a #sxsw-induced iphone-in-toilet crisis at apple store with mention (not my crisis for once)
Positive emotion,monday at #sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis how mondays should be
No emotion toward brand or product,attending #sxsw austin guide by mention is now free to download on itunes - {link} #lp
Negative emotion,seriously #sxsw did you do any testing on the mobile apps constant ipad crashes causing lost schedules and no sync for wp7
Positive emotion,ready for #sxsw here are some iphone apps 2 make ur blogging easier | {link} #sxsw #sxswi
Negative emotion,ipad2 and #sxswa conflagration of doofusness  {link}
Positive emotion,attention #sxsw'ers - {link} - rumored pop-up temporary apple store for all your #sxsw ipad 2 launch needs
Positive emotion,i went to #sxswi and all i won was this lousy #ipad #sxsw -) -) {link}
No emotion toward brand or product,hey #sxsw #sxswi folks if you want to learn about security come over to #bsidesaustin {link}
No emotion toward brand or product,attending #sxswi work in iphone / ipad game development looking to hire an austin-based ios developer i'm your man let's talk #sxsw
Positive emotion,this is a #winning picture #android #google #sxsw {link}
No emotion toward brand or product,gsd&ampm + google 7-10 rt mention what's the best party to hit tonight #sxsw mention mention
No emotion toward brand or product,gsd&ampm + google industry party #sxsw mention great to meet you  {link}
Negative emotion,"you spent $1000+ to come to sxsw 

you've already used ipad 1 

the wait is a couple city blocks 

why #ipad2 #sxsw {link}"
No emotion toward brand or product,#sxsw day 1 - marissa mayer google will connect the digital &amp physical worlds through mobile {link}
Positive emotion,behind on 100s of emails give them all 1 line iphone composed replies #sxsw #protip
Positive emotion,it's like 10pm at night and there is a line around the block at the popup apple stores selling ipad2s #sxsw
No emotion toward brand or product,mention 1154 free songs from #sxsw (this year alone) {link}
No emotion toward brand or product,more than 150 million mobile users for google maps for mobile #sxsw
No emotion toward brand or product,currently 150 people in line at the &quotpop up apple store&quot #sxsw
No emotion toward brand or product,only ipad 2 available at #sxsw is the 64gb wifi-only model at $699 plus the optional (not) leather smart cover at $69
No emotion toward brand or product,÷¼ we love 2 entertain youû_please donûªt be grateful ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
No emotion toward brand or product,less than 2 hours until we announce the details on the ipad 2 giveaway #sxsw #sxswi
Negative emotion,i'm up to 2 ipad 2s seen in the wild both people say it is fast but the still pics are terrible #sxsw
No emotion toward brand or product,(the ipad 2 queue at #sxsw of course
Positive emotion,the #ipad 2 takes over #sxsw [video] /by mention {link}
Positive emotion,many ipad 2's snapping away at the keynote slides #sxsw
No emotion toward brand or product,apple has 200m users' credit cards sync'd with itunes for one click purchase  #winning #sxsw
No emotion toward brand or product,having my 2nd cocktail &quottexas snowflake&quot  ( mention google it) at the #cnngrill #sxsw
Positive emotion,new post 3 iphone apps we'll be using at south by southwest interactive {link} #sxsw #sxswi
No emotion toward brand or product,new post 3 iphone apps we'll be using at south by southwest interactive #sxsw #sxswi {link}
Positive emotion,sweet new 3-d google maps demo going on in ballroom d #sxsw
Positive emotion,more than 35 million miles per day are driving with google maps navigation #sxsw
No emotion toward brand or product,rt ' it's 4 pm and the #ipad2 line at the apple store is longer and wider ûò about 250 people only one more hour ' #sxsw
No emotion toward brand or product,u = smart 4 packing an extra ) rt mention on my way to sunny austin for #sxsw extra iphone in stow just in case mention mention
No emotion toward brand or product,wonder if 4sqwill attempt to block gowalla cross-checkins the way facebook blocked google's contacts connections  #sxsw #lbswars
Positive emotion,#sxsw day 5 at the #apple store and there's still a lineand growing {link}
No emotion toward brand or product,"check out 5 steps to bulletproof ux strategy at sxsw
{link} #sxsw #rhjr_ux5  {link}"
No emotion toward brand or product,wandering 6th street with the girls stopped for ceviche mojitos apple juice &amp ice cream #sxsw
Positive emotion,if you're a band at #sxsw and want to share a track with your audience from stage use frostwire for android if there's wi-fi available
No emotion toward brand or product,we've got a busy week ahead our new book on #google apps will be available on amazon &amp we're attending #sxsw
No emotion toward brand or product,i believe a few went to aussies at #sxsw rt mention ipad 2 sold out 70% went to new buyers [report] - {link}
No emotion toward brand or product,ûïmention a google spreadsheet of over 270 parties at #sxsw this year o_o {link} mention plan on going to #sxsw party on
No emotion toward brand or product,there was a guy in line for apple's pop-up store on sixth street in austin &quoti'm that guy&quot he told me #sxsw
Positive emotion,if u have a iphone you don't need a car'-use zimride etc to share rides #sxsw #shareable
No emotion toward brand or product,i've seen a lot of tablets here every single one of them is an ipad #sxsw
No emotion toward brand or product,receiving a lot of mention messages telling me i'm sexy in response to my post looking to meet fellow christian iphone devs at #sxsw
Positive emotion,picked up a mophie battery case 4 my iphone in prep for #sxsw not lugging around a laptop &amp only using my phone was a huge win last year
No emotion toward brand or product,now thats a news p rtmention google to launch major new social network called circles possibly today {link} #sxsw
No emotion toward brand or product,just took a piss at the trade show ipad in one hand iphone in the other pissing i am kiiiiiilling it right now #sxsw
Positive emotion,not to be a rumor monger but this was a good read å_ #google #circles preview mention #sxsw {link} by mention via mention #socbiz #fb
No emotion toward brand or product,hobo with a shotgun iphone game {link} #sxsw
Positive emotion,hobo with a shotgun video game coming to ipad/iphone users yes please {link} #sxsw
Positive emotion,build out a store in less than 24 hours and have one of the biggest launches in this company's history  we got this  #apple #sxsw #ipad2
No emotion toward brand or product,just took a survey on iphone while in starbucks line got a free starbucks gift card instant research instant gratification #sxsw #gsdm
No emotion toward brand or product,apple has a temporary retail store in austin for the ipad 2 release today opens at 5pm #sxsw #sxswi #ipad2
Positive emotion,just read about #groupme at #sxswsounds like an incredible app is it available for android phones yet
No emotion toward brand or product,wondering about circles &gt google to reveal a new social network at #sxsw {link}
No emotion toward brand or product,google is about search but local' marissa mayer #sxsw
No emotion toward brand or product,wondering about street closures during sxsw we made a google map to show you {link} #sxsw #austin
No emotion toward brand or product,is google about to have another go at social with &quotgoogle circles&quot #sxsw #google
No emotion toward brand or product,questions about what's inside the ipad 2 fire them my way #sxsw
No emotion toward brand or product,paraormal activity sanctuary iphone game sketching your ar experience interactivity through &quotmagic lense&quot #eduar #sxsw
No emotion toward brand or product,apple iie ad in the '85 si swimsuit issue at a garage sale #sxsw {link}
No emotion toward brand or product,flipboard adds instagram photos and social search [apps] {link} #apple #socialsearch #sxsw
No emotion toward brand or product,spent the aftrnoon on a frozen lake photographing my brother scott &amp the mention team catch them at #sxsw ths weeknd  {link}
Negative emotion,if iphone alarms botch the timechange how many #sxsw'ers freak late to flights missed panels behind on bloody marys
Positive emotion,shouts to all the ladies holding up their ipad 2's at free #sxsw shows to take photos while sipping free beer /cc mention
No emotion toward brand or product,dj hoodie allen with all due respect you should probably make your way back to google #sxsw
Negative emotion,i meant i also wish i  at #sxsw #dyac stupid iphone
No emotion toward brand or product,audioboo american dream or bust {link} #ipad #sxsw #bum #begger #us #socialart #documentally
No emotion toward brand or product,skifta is an app-based media shifting service that turns your android phone into a   #sxsw #mashable #sxswi {link}
Positive emotion,rumors of an apple store opening for #sxsw at 6th &amp congress all signs point to yes {link}
No emotion toward brand or product,what does an apple security guy after he locks up the store #sxsw - {link}
No emotion toward brand or product,what does an apple security guy after he locks up the store #sxsw - the realtime sxsw s {link} curated by mention
No emotion toward brand or product,how i got an ipad 2 during #sxsw  {link} cc mention
Positive emotion,picked up an ipad 2 at the #sxsw pop up  apple store only 15 minute wait
Positive emotion,brilliant and enlightening game mechanics presentation by mention from google #sxsw
No emotion toward brand or product,gsd&ampm and googlesitting in a tree {link} #sxsw #gsdm
No emotion toward brand or product,mention  and here's a pic of you winning your ipad #unsix #sxsw cc mention mention  {link} (cont) {link}
No emotion toward brand or product,my iphone and i are both very thirsty #sxsw (mention chevy volt lounge w/ 16 others) {link}
No emotion toward brand or product,my iphone and i are both very thirsty #sxsw (mention chevy volt lounge w/ 16 others) {link} {link}
No emotion toward brand or product,i came in and left #sxsw with my iphone playing the same song chosen at random skream's listening to the records on my wall appropriate
Positive emotion,marketing and sales genius {link} #apple #sxsw
No emotion toward brand or product,arduino + android = flaming skulls  {link} refrigerator speaks  salon k 330pm mention mention #sxsw #smartthings
No emotion toward brand or product,reminder android and chrome tts talk mention 1 pm today  {link}  #sxsw
No emotion toward brand or product,ipad 2 vs android vs the world  panel at #sxsw today 330pm by mention {link}
No emotion toward brand or product,backupify announces cloudsight search the first searchable archive solution for social media and google apps #sxsw #sxswi {link}
No emotion toward brand or product,google is announcing a social network &quotcircles&quot (via #sxsw tweets) interesting myopia will cause buzz jokes but this is interesting
Positive emotion,do i need any more for #sxsw ipad iphone laptop dictaphone vidcamera wow love to  meet the real 'cerebellum' charged people)
No emotion toward brand or product,did u see anything on google's circles at the #sxsw mention mention
Positive emotion,the #sxsw app for my iphone is ridiculous it's my personal planner for the next 5 days
No emotion toward brand or product,our #sxsw app is now on #android d huge props to mention mention mention &amp mention get it now {link}
Negative emotion,found the app kyping my iphone's geolocation &amp not releasing when in background need a patch mention #batterykiller #sxsw
Positive emotion,the #sxsw app on the iphone is live rsvp for events from your phone &amp check out sundayswaggereventbritecom 3/20 #scoremore
No emotion toward brand or product,my iphone app screen for #sxsw what am i missing   {link}
Positive emotion,love this app so awesome rt mention must see #android app at #sxsw &quotbizzy&quot {link}
No emotion toward brand or product,the #sxsw apple &quotpop-up&quot store was nuts was still packed at 1130 {link}
No emotion toward brand or product,say what apple #sxsw popup store in austin {link} ~mention mention
No emotion toward brand or product,breaking apple announces partnership w/porn industry for new #ipad2 video chat app called &quoto-facetime&quot #sxsw
Negative emotion,of course apple built a temp store in austin it's texas they understand the concept of corralling cattle #sxsw #pickmeupanipad2
Positive emotion,love that apple didn't let something like not having a retail store near #sxsw keep them away by opening a pop-up store {link}
Positive emotion,surprise apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new  {link} #cnet
Positive emotion,surprise apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new ipads {link} #cnet
No emotion toward brand or product,surprise apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new ipads http/ {link}
Positive emotion,surprise apple has opened a pop-up store in austin so that the nerds in town for #sxsw can get their new ipads {link}
No emotion toward brand or product,#technews apple heads to sxsw sets up temporary store in austin {link} #tech_news #apple #ipad_2 #rance_wilemon #sxsw #tech
Positive emotion,ûïmention apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw
Positive emotion,ûïmention apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link} #gswsxsw
Negative emotion,ûïmention apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch&quot oh yay more traffic
No emotion toward brand or product,#technews apple opening pop-up store in austin for sxsw {link} #tech_news #american_statesman #apple #apple_apple #sxsw #tech
No emotion toward brand or product,#technews apple opening pop-up store in austin for sxsw geekfest [apple] {link} #tech_news #apple #brian_lam #ipad_2 #sxsw #tech
Positive emotion,the #sxsw apple popup store is open at noon has a fresh shipment of ipad 2's and i'm pretty sure i'm going to get one [fingers crossed]
Positive emotion,#technews apple saves sxsw set to open pop-up store {link} #tech_news #apple #sxsw #tech
No emotion toward brand or product,at #sxsw apple schools the marketing experts  {link}
Positive emotion,at #sxsw apple schools the marketing experts {link}
Positive emotion,at #sxsw apple schools the marketing experts {link} via mention
Positive emotion,at #sxsw apple schools the marketing experts {link} via mention &lt&lt true love or loathe them no one does marketing like them
Positive emotion,at #sxsw apple schools the marketing experts | cnet - {link}
Positive emotion,at #sxsw apple schools the marketing experts | cnet blogs {link} #austin #atx #retail
Positive emotion,ûïmention apple store downtown austin open til midnight #sxswû mention there's still time )
No emotion toward brand or product,ûïmention apple store downtown austin open til midnight #sxswû any ipad2 left in stock
No emotion toward brand or product,mention  apple store on congress  {link} #sxsw #austin
Negative emotion,&quotthe apple store at the mall on sunday is 10x as crowded as this this line is fake i just need a fucking dongle&quot genius let me in #sxsw
